UNIQUE_ID,Overall_Rating,Technical_Skills,Teamwork,Customer_Service,Hire_Again,High_Performer,Protected_Group,Retained,SJ_Most_1,SJ_Least_1,SJ_Time_1,SJ_Most_2,SJ_Least_2,SJ_Time_2,SJ_Most_3,SJ_Least_3,SJ_Time_3,SJ_Most_4,SJ_Least_4,SJ_Time_4,SJ_Most_5,SJ_Least_5,SJ_Time_5,SJ_Most_6,SJ_Least_6,SJ_Time_6,SJ_Most_7,SJ_Least_7,SJ_Time_7,SJ_Most_8,SJ_Least_8,SJ_Time_8,SJ_Most_9,SJ_Least_9,SJ_Time_9,Scenario1_1,Scenario1_2,Scenario1_3,Scenario1_4,Scenario1_5,Scenario1_6,Scenario1_7,Scenario1_8,Scenario1_Time,Scenario2_1,Scenario2_2,Scenario2_3,Scenario2_4,Scenario2_5,Scenario2_6,Scenario2_7,Scenario2_8,Scenario2_Time,Biodata_01,Biodata_02,Biodata_03,Biodata_04,Biodata_05,Biodata_06,Biodata_07,Biodata_08,Biodata_09,Biodata_10,Biodata_11,Biodata_12,Biodata_13,Biodata_14,Biodata_15,Biodata_16,Biodata_17,Biodata_18,Biodata_19,Biodata_20,PScale01_Q1,PScale01_Q2,PScale01_Q3,PScale01_Q4,PScale02_Q1,PScale02_Q2,PScale02_Q3,PScale02_Q4,PScale03_Q1,PScale03_Q2,PScale03_Q3,PScale03_Q4,PScale04_Q1,PScale04_Q2,PScale04_Q3,PScale04_Q4,PScale05_Q1,PScale05_Q2,PScale05_Q3,PScale05_Q4,PScale06_Q1,PScale06_Q2,PScale06_Q3,PScale06_Q4,PScale06_Q5,PScale06_Q6,PScale07_Q1,PScale07_Q2,PScale07_Q3,PScale07_Q4,PScale08_Q1,PScale08_Q2,PScale08_Q3,PScale08_Q4,PScale09_Q1,PScale09_Q2,PScale09_Q3,PScale09_Q4,PScale10_Q1,PScale10_Q2,PScale10_Q3,PScale10_Q4,PScale11_Q1,PScale11_Q2,PScale11_Q3,PScale11_Q4,PScale12_Q1,PScale12_Q2,PScale12_Q3,PScale12_Q4,PScale13_Q1,PScale13_Q2,PScale13_Q3,PScale13_Q4,PScale13_Q5,split
245021089,3.0,3.0,4.0,4.0,4.0,0.0,0.0,1,3,4,95,3,2,101,1,4,39,1,2,69,2,4,65,2,4,64,4,3,37,1,4,64,1,3,73,1,1,1,4,1,2,0,4,35,4,0,1,3,3,2,0,3,58,2,3,2,2,2,1,3,7,2,5,2,2,4,1,2,5,2,1,4,1,4,1,1,4,3,1,4,4,1,3,3,4,3,1,1,2,4,3,4,4,3,2,4,4,3,1,1,1,1,2,1,3,2,3,1,4,1,1,1,1,4,4,1,4,4,1,1,1,3,4,1,2,3,2,1,train
245181465,5.0,5.0,5.0,5.0,5.0,1.0,1.0,0,3,4,53,3,2,57,1,4,43,1,2,53,2,3,40,3,4,32,1,4,39,1,3,43,2,4,103,1,1,1,4,1,2,0,4,37,4,0,1,3,3,2,0,3,40,2,5,5,2,3,1,1,5,2,6,1,1,4,3,2,5,2,4,6,1,4,1,1,4,4,1,4,4,1,4,4,4,4,1,1,1,4,1,4,4,2,2,4,4,2,1,1,4,1,1,2,1,1,1,1,4,1,1,1,1,4,4,1,4,4,1,1,1,4,4,2,1,4,4,4,train
229682665,3.0,3.0,3.0,3.0,4.0,0.0,1.0,0,2,4,89,1,4,73,1,3,90,1,2,100,1,3,78,2,4,66,1,3,65,1,3,81,1,4,70,1,1,1,4,1,1,2,4,118,4,0,1,3,3,2,0,3,51,2,3,1,1,2,2,2,8,5,7,1,2,1,2,2,5,2,5,1,1,4,1,1,4,4,1,4,4,1,4,4,4,4,4,4,1,4,1,1,1,1,4,4,4,4,1,1,4,1,1,4,1,4,1,1,4,1,1,1,1,4,4,4,4,4,4,1,1,4,4,1,1,4,4,4,train
245174982,4.0,4.0,4.0,4.0,5.0,1.0,0.0,1,2,1,110,1,2,86,1,4,52,1,2,109,2,4,103,4,1,72,1,2,79,2,3,59,3,4,140,1,1,1,4,1,2,0,4,75,4,0,1,3,3,2,0,3,63,2,1,2,7,1,1,2,1,7,1,1,2,4,3,2,5,7,7,2,1,3,3,3,3,4,1,4,3,1,4,4,3,3,2,2,2,3,3,3,3,2,1,3,4,3,2,1,4,1,1,2,2,3,1,1,4,1,1,2,2,3,3,2,3,2,2,1,1,2,4,1,1,3,3,3,train
244979030,2.0,2.0,3.0,2.0,3.0,0.0,0.0,1,3,2,35,3,2,21,1,4,32,2,3,81,2,3,46,2,4,32,1,2,31,1,4,37,1,3,71,1,0,1,4,1,2,0,4,66,4,0,1,3,3,2,0,3,104,3,1,6,6,1,3,2,1,1,1,1,2,4,4,3,1,3,1,3,1,2,3,3,2,3,2,3,2,1,3,3,2,2,3,3,4,4,4,4,4,4,2,3,4,4,1,2,3,2,2,3,2,3,2,1,4,1,1,2,3,3,2,4,1,1,4,2,1,4,4,2,1,4,3,2,train
244953017,4.0,4.0,5.0,4.0,4.0,1.0,1.0,1,3,4,26,3,4,24,1,2,23,4,3,38,2,3,32,3,4,20,1,4,17,1,4,23,2,4,26,1,1,1,4,1,2,0,4,23,4,0,1,3,3,2,0,3,23,1,3,5,7,1,1,1,6,3,4,1,1,4,1,1,5,1,3,7,1,4,1,1,4,4,1,4,4,1,4,4,4,4,1,1,1,4,4,4,4,4,4,1,4,4,1,1,4,1,1,1,4,1,4,1,4,1,1,1,1,4,4,1,4,4,1,1,1,4,4,1,1,4,4,1,train
245079943,3.5,3.0,3.0,3.0,4.0,0.0,0.0,1,3,4,51,1,2,15,1,2,25,1,3,32,2,4,28,2,3,23,1,2,29,2,4,67,2,4,61,1,1,1,4,1,2,0,4,90,4,0,1,3,3,2,0,3,65,3,3,4,5,2,3,4,1,3,1,1,1,3,4,3,1,7,3,4,1,2,3,3,1,3,2,3,2,2,3,2,2,3,3,2,2,2,3,2,1,3,2,2,4,3,1,2,3,2,2,2,2,2,2,2,3,2,2,2,1,4,3,2,2,2,3,1,1,1,4,2,2,3,4,2,train
245005686,3.0,4.0,3.0,3.0,4.0,0.0,1.0,1,3,2,139,3,4,80,1,3,109,1,4,42,2,3,80,2,4,41,3,2,39,2,3,47,2,3,181,1,1,1,4,1,2,0,4,32,4,0,1,3,3,2,0,3,30,2,3,5,4,2,2,1,7,2,6,1,1,3,2,2,4,2,4,4,1,2,3,3,1,4,2,2,4,3,4,1,3,2,2,4,3,4,1,3,3,3,2,3,3,3,3,2,4,1,1,1,4,3,2,1,4,1,1,1,3,3,3,1,2,1,2,2,2,2,4,1,2,4,3,3,train
245082123,5.0,4.0,5.0,4.0,5.0,1.0,0.0,1,3,4,94,1,2,37,1,3,58,1,2,38,2,4,16,4,1,37,1,4,20,2,3,38,2,3,52,1,0,1,4,1,2,0,4,47,4,0,1,3,3,2,0,3,35,2,5,2,3,1,2,1,1,3,1,1,2,3,3,2,2,7,3,4,1,1,3,3,1,4,1,3,4,1,3,2,3,2,3,3,2,4,3,1,3,3,2,3,4,4,1,1,4,1,1,2,1,1,2,1,4,1,1,2,1,3,3,4,1,1,4,1,1,4,3,1,1,4,4,1,train
245048457,2.0,2.0,2.0,2.0,2.0,0.0,0.0,0,2,4,41,3,2,46,1,3,33,1,2,53,2,4,35,3,1,53,1,2,21,1,4,52,2,4,46,2,0,0,0,1,1,1,4,35,4,0,5,3,3,2,0,4,64,3,5,3,5,2,3,2,1,3,1,1,3,3,4,3,2,3,3,2,1,2,3,3,2,3,3,3,3,2,3,3,2,2,3,3,3,2,2,1,1,3,2,3,4,3,1,2,3,1,1,4,1,3,2,1,4,1,1,2,2,3,2,3,2,2,3,1,1,4,4,1,1,3,3,3,train
